HGAL,PID,Export C1A1,Export C1A2,Export C1B1,Export C1B2,Export C1C1,Export C1C2,Export C1E1,Export C1E2,Class 1 Status,Who Modified,Date Modified,Verified BC,Verified homo A,Verified homo B,Verified homo C,Verified homo E
05E00411,HER020DRM,02:01,23:01,27:05,40:01,02:02,03:04,,,Published,car master,12/24/2009,1,,,,
05E00718,MTS137HK,02:01,02:01,27:02,40:01,02:02,03:04,,,Published,Tang,03/07/2008,1,,,,
05E01744,UNC077AM,74,74,15:03,40:01,02:02,03:04,,,Published,Bailey Kessing,10/01/2010,1,,,,
07G00035,40802,11:01,68:01,40:01,40:02,02:02,03:04,A,A,Published,yukiy,05/11/2018,1,,,,
07G00294,30181,02:01,02:01,15:01,27:05,02:02,03:04,G,G,Published,yukiy,05/18/2018,1,,,,
07G00535,40599,03:01,68:01,07:02,15:01,02:02,03:04,G,G,Published,yukiy,06/04/2018,1,,,,
07G00642,41544,24:02,32:01,40:01,40:02,02:02,03:04,A,A,Published,yukiy,07/06/2018,1,,,,
07G00766,20584,24:02,29:02,35:01,51:01,02:02,03:04,G,G,Published,CSSMCS,01/14/2020,1,,,,
07G00785,20014,02:01,24:02,40:01,44:02,02:02,03:04,A,G,Published,yukiy,07/06/2018,1,,,,
07G01608,21089,02:01,26:01,15:01,51:01,02:02,03:04,A,G,Published,yukiy,11/27/2018,1,,,,
10J00273,11527,03:01,68:01,40:01,44:02,02:02,03:04,,,Preliminary,Darlene Marti,03/29/2004,1,,,,
32C00421,1377-10,02:01,31:01,40:01,41:02,02:02,03:04,,,Preliminary,Bailey Kessing,07/07/2011,,,,,
42M00019,12723M,30:04,33:01,08:01,14:01,02:02,03:04,,,Confirmed,Bailey Kessing,01/07/2005,1,,,,
42M00339,10408M,32:01,34:02,18:01,40:01,02:02,03:04,,,Published,car master,12/24/2009,1,,,,
42M00627,12377M,68:02,80:01,15:10,18:01,02:02,03:04,,,Published,Amy Poisson,09/18/2003,,,,,
05E00506,HER109GBM,03:01,25:01,15:01,40:02,02:02,03:04,A,G,Published,CSSMCS,10/23/2019,,,,,
05E01128,CHI059KWG,02:01,02:01,44:02,51:01,02:02,03:04,,,Published, Darlene Marti,01/16/2008,1,,,,
07G02952,30098,02:01,29:02,15:01,27:05,02:02,03:04,,,Confirmed,car master,12/24/2009,1,,,,
07G02918,41697,32:01,32:01,27:05,40:01,02:02,03:04,A,A,Published,yukiy,11/20/2018,1,,,,
42M01579,30176R,02:02,24:02,18:01,40:01,02:02,03:04,,,Confirmed,Bailey Kessing,05/18/2007,1,,,,
66K00380,BUC468,02:01,31:01,15:01,51:01,02:02,03:04,,,Confirmed,Bailey Kessing,08/22/2003,1,,,,
32C00721,1451-12,02:01,,,40:02,02:02,03:04,,,Preliminary,Bailey Kessing,02/18/2011,1,,,,
CAR23299,RAGN463348,24:02,31:01,15:01,27:05,02:02,03:04,A,G,Preliminary,yukiy,03/29/2018,,,,,
07G03084,40656,02:01,02:01,27:05,40:01,02:02,03:04,A,G,Preliminary,yukiy,11/21/2018,1,,,,
CAR26186,RAGN389876,02:01,68:01,40:01,40:02,02:02,03:04,,,Completed,Bailey Kessing,06/15/2011,,,,,
CAR28884,RAGN196082,11:01,31:01,27:05,40:01,02:02,03:04,A,G,Completed,CSSMCS,03/12/2020,,,,,
CAR28926,RAGN548153,02:01,02:01,15:01,27:05,02:02,03:04,G,G,Completed,yukiy,04/05/2018,,,,,
42M01877,10108R,02:01,02:01,40:01,44:05,02:02,03:04,,,Preliminary,bassS,08/05/2009,1,1,,,
07G01489,40347,03:01,11:01,27:05,40:01,02:02,03:04,A,G,Preliminary,yukiy,08/30/2018,,,,,
01A00005,KS11412,31:01,68:01,27:05,40:01,02:02,03:04,,,Preliminary,yukiy,02/24/2014,,,,,
05E00731,MTS169CO,02:17,32:01,27:05,40:02,02:02,03:05,,,Published, Darlene Marti,01/16/2008,1,,,,
01A00072,KS12223,02:09,24:02,35:01,50:01,02:02,04:01,G,G,Published,CSSMCS,10/23/2019,,,,,
01A00236,KS11741,02:01,23:01,15:03,53:01,02:02,04:01,,,Confirmed,Tang,03/07/2008,1,,,,
01A00450,KS12383,33:01,68:01,18:01,35:01,02:02,04:01,,,Preliminary,car master,03/04/2010,,,,,
05E00241,GWU035RF,11:01,24:02,15:01,35:08,02:02,04:01,,,Published,Tang,03/07/2008,1,,,,
05E00329,TUL010RT,03:01,66:02,15:03,35:01,02:02,04:01,,,Published,Tang,03/07/2008,1,,,,
05E00667,MTS011FR,24:02,24:02,27:05,35:03,02:02,04:01,,,Published,Tang,03/07/2008,1,,,,
05E00753,MUN019MK,02:01,03:01,27:05,35:01,02:02,04:01,,,Published,Tang,03/07/2008,1,,,,
05E01869,UNC049GC,03:01,74,15:03,35:01,02:02,04:01,,,Published,Bailey Kessing,10/01/2010,1,,,,
05E01936,U13001001,02:01,02:06,27:05,35:01,02:02,04:01,,,Published, Darlene Marti,01/16/2008,1,,,,
05E02159,MTS183JT,33:01,34:02,44:03,44:03,02:02,04:01,,,Published,Marti,10/03/2006,1,,,,
05E02322,W04701001,24:02,68:01,27:05,44:03,02:02,04:01,,,Published, Darlene Marti,01/16/2008,1,,,,
05E02589,GRE115KS,02:01,30:02,35:08,47:01,02:02,04:01,,,Confirmed,Bailey Kessing,07/07/2011,1,,,,
07G00013,41570,02:01,23:01,27:02,44:03,02:02,04:01,,,Published, Darlene Marti,01/16/2008,1,,,,
07G00039,40467,02:01,32:01,27:05,44:03,02:02,04:01,A,G,Published,Windows User,08/28/2023,1,,,,
07G00188,40777,24:02,32:01,35:02,39:01,02:02,04:01,A,G,Published,yukiy,11/27/2018,1,,,,
07G00671,10649,03:01,68:01,27:05,35:01,02:02,04:01,A,G,Published,CSSMCS,08/19/2019,1,,,,
07G00805,40121,03:01,03:01,35:03,51:01,02:02,04:01,A,G,Published,yukiy,06/29/2018,1,,,,
07G00895,13170,01:01,02:01,35:01,40:02,02:02,04:01,A,G,Preliminary,yukiy,11/20/2018,1,,,,
07G01271,30046,02:01,33:01,27:05,35:03,02:02,04:01,A,A,Published,yukiy,11/20/2018,1,,,,
07G01302,30699,01:01,02:01,35:02,40:02,02:02,04:01,A,G,Published,yukiy,11/20/2018,1,,,,
10J00277,15349,11:01,11:01,27:05,35:01,02:02,04:01,,,Preliminary, Darlene Marti,01/16/2008,1,,,,
32C00145,1332-02,03:01,03:01,27:05,35:01,02:02,04:01,,,Preliminary,Bailey Kessing,07/07/2011,,,,,
42M00258,10014M,23:01,34:02,15:03,57:03,02:02,04:01,,,Published, Darlene Marti,01/16/2008,,,,,
42M00384,11034M,02:02,23:01,15:03,53:01,02:02,04:01,,,Published,Bailey Kessing,01/07/2005,1,,,,
42M00477,11517M,02:01,02:02,40:02,53:01,02:02,04:01,,,Published, Darlene Marti,01/16/2008,1,,,,
42M00480,11586M,23:01,23:01,35:01,78:01,02:02,04:01,,,Published,Amy Poisson,09/18/2003,,,,,
42M00581,11603M,23:01,68:02,15:03,53:01,02:02,04:01,,,Published,Amy Poisson,09/18/2003,1,,,,
42M00713,12402M,,,15:03,15:03,02:02,04:01,,,Preliminary,Amy Poisson,09/18/2003,,,,,
42M00780,12832M,02:01,02:01,15:03,53:01,02:02,04:01,,,Published,car master,12/24/2009,1,,,,
42M00862,12732M,,33:00,27:05,35:01,02:02,04:01,,,Published,Yuko Yuki,12/09/2008,,,,,
42M00958,13228M,30:01,74,15:03,53:01,02:02,04:01,,,Published,Bailey Kessing,10/01/2010,1,,,,
42M00994,11956M,02:05,36:01,27:03,53:01,02:02,04:01,A,A,Published,yukiy,02/04/2019,1,,,,
42M01008,11065M,30:01,33:03,15:03,35:01,02:02,04:01,,,Published,car master,12/24/2009,1,,,,
42M01108,10406M,11:01,33:01,15:03,35:01,02:02,04:01,,,Published,Amy Poisson,09/18/2003,,,,,
42M01115,10593M,30:02,33:03,18:01,53:01,02:02,04:01,A,G,Published,yukiy,09/17/2018,,,,,
42M01190,12507M,23:01,33:01,15:03,44:03,02:02,04:01,,,Published,Amy Poisson,09/18/2003,,,,,
42M01216,13160M,02:01,03:01,27:03,35:01,02:02,04:01,,,Published,Bailey Kessing,01/07/2005,1,,,,
42M01229,70020M,03:01,68:02,15:03,35:01,02:02,04:01,,,Published,Bailey Kessing,01/07/2005,1,,,,
42M01367,10565M,02:02,33:03,15:03,53:01,02:02,04:01,,,Published,Amy Poisson,09/18/2003,,,,,
42M01395,10158M,03:01,29:01,35:01,51:01,02:02,04:01,,,Published,Bailey Kessing,01/07/2005,1,,,,
07G01102,30056,02:01,24:02,35:01,40:02,02:02,04:01,,,Published,car master,12/24/2009,1,,,,
05E00029,PHI053MAC,01:01,24:02,27:05,35:03,02:02,04:01,,,Published,CSSMCS,10/23/2019,,,,,
05E00148,HER028BDM,01:01,11:01,35:03,51:01,02:02,04:01,A,G,Published,CSSMCS,10/23/2019,,,,,
05E01833,SWI003DL,01:01,02:01,35:01,40:02,02:02,04:01,,,Preliminary,Darlene Marti,03/03/2004,1,,,,
05E00548,CHI009TLF,02:02,34:02,15:03,44:03,02:02,04:01,,,Published,Amy Poisson,09/18/2003,1,,,,
05E01920,COR193SP,02:01,02:02,18:01,53:01,02:02,04:01,,,Preliminary,car master,03/04/2010,,,,,
05E02111,CHI066JAS,31:01,32:01,27:05,35:01,02:02,04:01,,,Published, Darlene Marti,01/16/2008,1,,,,
07G02986,40062,02:01,02:01,27:02,44:03,02:02,04:01,,,Published,car master,12/24/2009,1,,,,
07G00281,30778,02:01,03:01,35:01,51:01,02:02,04:01,A,G,Published,yukiy,09/17/2018,1,,,,
07G01509,40651,01:01,24:02,14:02,35:02,02:02,04:01,A,A,Published,yukiy,08/30/2018,1,,,,
07G01739,23230,03:01,68:02,35:01,51:01,02:02,04:01,A,A,Published,yukiy,09/17/2018,1,,,,
07G00206,41244,24:02,68:01,35:01,51:01,02:02,04:01,A,A,Confirmed,yukiy,05/09/2018,1,,,,
66K00011,BUC014,02:01,02:01,18:01,27:02,02:02,04:01,,,Confirmed,marti,12/11/2006,1,,,,
66K00023,BUC001,29:02,68:01,15:01,51:01,02:02,04:01,,,Confirmed,marti,12/11/2006,1,,,,
66K00113,BUC149,02:01,11:01,27:05,35:01,02:02,04:01,,,Confirmed,Bailey Kessing,08/22/2003,1,,,,
66K00191,BUC234,02:01,11:01,27:05,35:01,02:02,04:01,,,Confirmed,Bailey Kessing,08/22/2003,1,,,,
42M01599,70129R,33:03,36:01,15:03,53:01,02:02,04:01,,,Confirmed,Bailey Kessing,05/18/2007,1,,,,
42M01286,79019M,26:01,68:02,44:05,53:01,02:02,04:01,A,G,Preliminary,CSSMCS,01/07/2020,1,,,,
42M01294,12759M,02:02,33:01,15:03,35:01,02:02,04:01,,,Preliminary, marti,06/02/2005,1,,,,
42M01411,10606M,02:01,23:01,27:03,35:01,02:02,04:01,,,Preliminary,Audrey Majeske,02/19/2004,,,,,
CAR08408,GP 0514,02:01,32:01,40:02,44:03,02:02,04:01,A,G,Preliminary,Windows User,07/07/2020,,,,,
66K00150,BUC188,02:01,03:01,27:05,35:01,02:02,04:01,,,Preliminary,bassse,06/22/2012,1,,,,
66K00559,RDP0673,02:01,31:01,35:03,40:02,02:02,04:01,G,G,Preliminary,yukiy,07/26/2018,1,,,,
CAR23274,YE 5110,01:01,11:01,27:05,35:03,02:02,04:01,A,A,Preliminary,CSSMCS,04/27/2024,,,,,
32C00152,1332-10,03:01,03:01,27:05,35:01,02:02,04:01,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
32C00711,1451-02,02:01,23:01,,44:03,02:02,04:01,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
07G02570,13219,11:01,31:01,35:01,44:05,02:02,04:01,A,A,Preliminary,yukiy,11/20/2018,1,,,,
07G03086,41088,02:01,03:01,35:01,51:01,02:02,04:01,,,Preliminary,yukiy,12/16/2011,,,,,
CAR32010,RAGN946671,01:01,03:01,15:10,40:02,02:02,04:01,A,A,Completed,CSSMCS,02/21/2020,1,,,,
05E02749,CCB006,,,13:02,35:02,02:02,04:01,,,Preliminary,Yuko Yuki,12/09/2008,,,,,
42M01243,70062M,,,15:03,53:01,02:02,04:04,,,Preliminary,Amy Poisson,09/18/2003,,,,,
01A00061,KS11082,02:01,24:02,27:05,44:02,02:02,05:01,A,G,Published,CSSMCS,10/23/2019,,,,,
05E00208,GWU037RO,03:01,32:01,27:05,44:02,02:02,05:01,,,Published,Tang,03/07/2008,1,,,,
05E00523,HER163ALS,02:01,02:01,27:05,44:02,02:02,05:01,,,Published,Bailey Kessing,11/21/2008,,,,,
05E00737,MTS179OP,02:02,32:01,44:02,53:01,02:02,05:01,,,Published,Tang,03/07/2008,,,,,
05E01766,SWI034CG,02:01,32:01,18:01,27:05,02:02,05:01,,,Published,Bailey Kessing,11/21/2008,1,,,,
05E02017,SWI046AC,02:01,24:02,44:02,44:05,02:02,05:01,,,Published, Darlene Marti,01/16/2008,,,,,
05E02036,SWI074NL,,,27:05,44:02,02:02,05:01,,,Preliminary,Yuko Yuki,12/09/2008,,,,,
07G00181,40694,03:01,33:03,18:01,27:02,02:02,05:01,A,A,Published,yukiy,05/09/2018,1,,,,
07G00662,41100,02:01,24:02,40:02,44:02,02:02,05:01,,,Published,yukiy,08/17/2018,1,,,,
07G00673,40766,03:01,11:01,27:05,44:02,02:02,05:01,A,G,Published,yukiy,07/06/2018,1,,,,
07G00987,40457,02:01,02:01,27:05,44:02,02:02,05:01,A,A,Published,yukiy,09/17/2018,1,,,,
10J00261,11410,01:01,02:01,27:05,44:02,02:02,05:01,,,Preliminary,Bailey Kessing,07/07/2011,1,,,,
32C00360,1349-02,02:01,02:01,27:05,44:02,02:02,05:01,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
42M00451,10491M,02:01,03:01,44:02,82:01,02:02,05:01,,,Published, Darlene Marti,01/16/2008,1,,,,
42M00690,11749M,02:01,33:03,37:01,44:02,02:02,05:01,,,Published,car master,12/24/2009,1,,,,
42M00850,12684M,32:01,32:01,27:05,44:02,02:02,05:01,,,Published,Bailey Kessing,01/07/2005,1,,,,
42M01156,11693M,02:01,33:03,37:01,44:02,02:02,05:01,,,Published,Bailey Kessing,01/07/2005,1,,,,
05E02136,GWU087BO,03:01,32:01,27:05,44:02,02:02,05:01,,,Published, Darlene Marti,01/16/2008,1,,,,
05E00202,GWU030TK,24:02,31:01,27:05,44:02,02:02,05:01,,,Published, Darlene Marti,01/16/2008,1,,,,
05E00891,VIE068KM,02:01,68:01,27:05,44:02,02:02,05:01,,,Published,Amy Poisson,09/18/2003,1,,,,
07G01781,41376,02:01,02:01,44:02,44:05,02:02,05:01,A,G,Published,yukiy,11/27/2018,1,,,,
07G01080,41842,25:01,30:02,18:01,51:01,02:02,05:01,G,G,Preliminary,yukiy,09/17/2018,1,,,,
07G01095,10767,02:01,68:01,27:05,44:02,02:02,05:01,,,Preliminary,Bailey Kessing,11/21/2008,1,,,,
66K00126,BUC164,24:02,32:01,40:02,44:02,02:02,05:01,,,Preliminary,duh,02/17/2009,1,,,,
07G03099,21156,02:01,02:01,18:01,51:01,02:02,05:01,,,Preliminary,marti,03/02/2007,1,,,,
CAR01556,RAGN465873,,,44:02,51:01,02:02,05:01,,,Confirmed,yukiy,06/20/2011,,,,,
CAR26228,RAGN224929,24:02,32:01,40:02,44:02,02:02,05:01,,,Completed,Bailey Kessing,06/15/2011,,,,,
CAR26604,RAGN584066,11:01,26:01,27:05,35:01,02:02,05:01,,,Preliminary,Bailey Kessing,06/15/2011,,,,,
CAR34217,10508,02:05,30:02,18:01,27:03,02:02,05:01,A,A,Completed,CSSMCS,02/21/2020,1,,,,
CAR34661,RAGN587483,01:01,03:01,27:02,44:02,02:02,05:01,A,G,Completed,yukiy,03/29/2018,1,,,,
CAR43072,RAGN794481,03:01,11:01,40:02,44:02,02:02,05:01,,,Completed,Bailey Kessing,06/15/2011,1,,,,
07G00648,40263,02:01,03:01,40:02,44:02,02:02,05:05,A,G,Published,yukiy,07/06/2018,1,,,,
01A00034,KS10551,01:01,26:01,27:02,37:01,02:02,06:02,,,Preliminary,yukiy,02/24/2014,,,,,
01A00244,KS12823,02:01,03:01,27:05,57:01,02:02,06:02,,,Published,Tang,03/07/2008,1,,,,
01A00314,KS11812,02:01,02:01,27:05,50:01,02:02,06:02,,,Published,CSSMCS,10/23/2019,,,,,
01A00325,KS12643,01:01,02:01,27:05,57:01,02:02,06:02,,,Published,Tang,03/07/2008,1,,,,
01A00364,KS10191,01:01,30:01,27:02,57:01,02:02,06:02,,,Confirmed,Tang,03/07/2008,1,,,,
05E00151,HER127LMS,02:01,02:01,13:02,40:02,02:02,06:02,,,Published,car master,12/24/2009,1,,,,
05E00198,CHI012JBG,01:01,02:01,37:01,51:01,02:02,06:02,,,Published,Bailey Kessing,11/21/2008,1,,,,
05E00199,CHI011CGG,01:01,02:01,37:01,51:01,02:02,06:02,,,Published,Tang,03/07/2008,1,,,,
05E00269,COR179JM,29:02,33:03,15:03,45:01,02:02,06:02,,,Published,Tang,03/07/2008,,,,,
05E00779,PHI029JMF,02:01,30:01,27:05,57:02,02:02,06:02,,,Published,Tang,03/07/2008,,,,,
05E01157,COR173TC,02:01,24:02,13:02,27:05,02:02,06:02,A,G,Published,CSSMCS,10/23/2019,,,,,
05E01649,MTS196DC,02:02,30:02,15:03,58:02,02:02,06:02,,,Published,Marti,10/03/2006,1,,,,
05E01650,MTS199DC,02:02,30:02,15:03,58:02,02:02,06:02,,,Published,Marti,10/03/2006,1,,,,
05E01686,C23401001,24:02,30:02,44:02,58:02,02:02,06:02,,,Published,Bailey Kessing,07/07/2011,1,,,,
05E01896,UNC089LJ,33:03,68:01,37:01,58:02,02:02,06:02,,,Published,Marti,10/03/2006,1,,,,
07G00407,13123,02:01,68:01,44:05,58:02,02:02,06:02,A,G,Published,yukiy,06/04/2018,1,,,,
07G00705,30608,02:01,30:01,27:05,57:01,02:02,06:02,A,A,Published,yukiy,07/06/2018,1,,,,
07G00847,41289,01:01,32:01,27:02,57:01,02:02,06:02,A,G,Published,yukiy,07/11/2018,1,,,,
07G01005,40478,30:01,68:01,13:02,27:05,02:02,06:02,,,Published,car master,12/24/2009,1,,,,
07G01148,10273,01:01,02:01,27:05,57:01,02:02,06:02,A,A,Published,yukiy,10/02/2018,1,,,,
07G01209,40337,30:01,32:01,13:02,40:02,02:02,06:02,A,G,Published,yukiy,09/21/2018,1,,,,
07G01309,30007,02:01,03:01,40:02,57:01,02:02,06:02,A,A,Published,yukiy,09/21/2018,1,,,,
07G01381,30489,02:01,03:01,40:02,47:01,02:02,06:02,A,G,Published,yukiy,11/20/2018,1,,,,
07G01741,30292,02:01,68:01,,,02:02,06:02,,,Preliminary,Darlene Marti,03/26/2004,,,,,
10J00081,13997,03:01,26:08,27:02,57:01,02:02,06:02,A,G,Published,CSSMCS,12/16/2019,,,,,
10J00103,14982,02:05,33:03,15:03,50:01,02:02,06:02,,,Published,Bailey Kessing,01/07/2005,,,,,
32C00370,1349-14,02:01,02:01,27:05,57:01,02:02,06:02,,,Preliminary,marti,03/14/2011,,,,,
32C00414,1377-01,02:01,02:01,13:02,41:02,02:02,06:02,,,Preliminary,Bailey Kessing,07/07/2011,,,,,
42M00335,10597M,30:02,34:02,15:03,58:02,02:02,06:02,,,Published, Darlene Marti,01/16/2008,1,,,,
42M00360,10241M,29:02,80:01,18:01,58:02,02:02,06:02,,,Published,Amy Poisson,09/18/2003,1,,,,
42M00718,12466M,02:05,02:05,18:01,50:01,02:02,06:02,,,Published,Amy Poisson,09/18/2003,,,,,
42M00855,12688M,02:01,36:01,13:02,18:01,02:02,06:02,,,Published,Bailey Kessing,11/21/2008,1,,,,
42M00951,11715M,29:02,30:01,15:03,58:02,02:02,06:02,,,Published,Bailey Kessing,01/07/2005,1,,,,
42M00967,13221M,01:01,11:01,27:05,57:01,02:02,06:02,A,G,Published,yukiy,09/21/2018,1,,,,
42M01205,12987M,30:02,66:01,15:03,58:02,02:02,06:02,,,Published,Bailey Kessing,11/21/2008,1,,,,
42M01308,10920M,36:01,74,15:03,58:02,02:02,06:02,,,Published,Bailey Kessing,10/01/2010,1,,,,
42M01328,12469M,66:01,74,15:03,81:01,02:02,06:02,,,Published,Bailey Kessing,10/01/2010,1,,,,
42M01555,11387M,01:01,03:01,27:05,57:01,02:02,06:02,,,Published, Darlene Marti,01/16/2008,1,,,,
42M01569,70092M,23:01,30:02,50:01,53:01,02:02,06:02,,,Published,Bailey Kessing,01/07/2005,1,,,,
42M01376,10776M,02:02,68:01,15:03,50:01,02:02,06:02,,,Published,car master,12/24/2009,1,,,,
05E00410,HER002BCS,02:01,02:01,13:02,40:03,02:02,06:02,,,Published,Bailey Kessing,01/07/2005,,,,,
07G02688,40498,01:01,02:06,27:05,37:01,02:02,06:02,A,G,Published,yukiy,10/02/2018,1,,,,
07G02908,40568,01:01,02:01,27:05,37:01,02:02,06:02,A,G,Published,yukiy,11/20/2018,1,,,,
07G01767,40741,01:01,03:01,15:01,37:01,02:02,06:02,A,A,Published,yukiy,10/02/2018,1,,,,
07G02783,20103,03:01,25:01,27:05,57:01,02:02,06:02,A,G,Published,yukiy,10/02/2018,1,,,,
07G00262,20017,01:01,32:01,37:01,40:02,02:02,06:02,A,A,Published,CSSMCS,08/29/2017,1,,,,
07G01533,40940,01:01,68:02,38:01,40:02,02:02,06:02,A,A,Published,CSSMCS,08/29/2017,1,,,,
07G03037,33205,01:01,02:01,44:05,57:01,02:02,06:02,A,A,Preliminary,yukiy,11/21/2018,1,,,,
07G03100,21171,02:01,23:01,15:03,50:01,02:02,06:02,,,Confirmed,Bailey Kessing,08/22/2003,1,,,,
77W00386,926587P,01:01,02:01,27:05,57:01,02:02,06:02,,,Preliminary,tangm2,09/26/2017,,,,,
32C00363,1349-05,01:01,02:01,27:05,57:01,02:02,06:02,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
CAR25169,RAGN481241,02:01,32:01,40:02,57:01,02:02,06:02,A,A,Preliminary,yukiy,03/29/2018,,,,,
CAR01552,RAGN535367,03:01,26:08,27:02,57:01,02:02,06:02,A,G,Preliminary,yukiy,04/04/2018,,,,,
CAR26179,RAGN831409,24:02,31:01,27:05,37:01,02:02,06:02,,,Completed,Bailey Kessing,06/15/2011,,,,,
CAR26764,RAGN849151,01:01,26:01,27:05,57:01,02:02,06:02,,,Preliminary,Bailey Kessing,06/15/2011,,,,,
CAR29578,RAGN800629,02:01,24:02,27:02,57:01,02:02,06:02,A,G,Completed,yukiy,03/29/2018,,,,,
CAR29581,RAGN674384,03:01,26:01,27:05,57:01,02:02,06:02,A,G,Completed,CSSMCS,02/21/2020,,,,,
05E02776,MIN038,,,27:05,57:01,02:02,06:02,,,Preliminary,Yuko Yuki,12/09/2008,,,,,
05E02796,PEN531,,,27:05,57:02,02:02,06:02,,,Preliminary,yukiy,09/29/2011,,,,,
CAR37490,RAGN679542,03:01,25:01,40:02,57:01,02:02,06:02,A,A,Completed,yukiy,03/28/2018,,,,,
CAR40111,RAGN139625,01:01,24:02,27:05,57:01,02:02,06:02,A,A,Completed,yukiy,03/28/2018,1,,,,
07G01575,41644,02:01,02:01,27:05,37:01,02:02,06:02,,,Preliminary,yukiy,12/16/2011,,,,,
01A00323,KS11762,01:01,01:01,08:01,27:05,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
01A00327,KS11292,33:03,68:02,44:03,57:03,02:02,07:01,,,Published,Tang,03/07/2008,,,,,
01A00442,KS12833,01:01,02:01,08:01,51:01,02:02,07:01,A,G,Published,CSSMCS,10/23/2019,,,,,
04D00004,PHI125JFR,01:01,32:01,08:01,27:05,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E00051,PHI107FTG,01:01,24:02,08:01,27:05,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E00075,TUL017AH,01:01,02:01,08:01,27:05,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E00189,PHI120JCR,01:01,03:01,08:01,51:01,02:02,07:01,,,Published,Bailey Kessing,11/21/2008,1,,,,
05E00295,HER080JPH,01:01,31:01,08:01,27:05,02:02,07:01,A,A,Published,CSSMCS,10/23/2019,1,,,,
05E00368,TUL031MT,01:01,26:01,08:01,44:02,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E00382,CLE005HJB,02:01,24:02,18:01,51:01,02:02,07:01,G,G,Published,CSSMCS,01/30/2020,1,,,,
05E00448,PIT059JAD,01:01,32:01,08:01,40:02,02:02,07:01,,,Published,CSSMCS,08/20/2021,1,,,,
05E00598,A08001001,01:01,03:01,27:05,39:01,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E00910,VIE018SP,03:02,24:02,40:02,58:01,02:02,07:01,,,Published,Bailey Kessing,11/21/2008,1,,,,
05E01019,GWU097ES,11:01,26:01,27:05,49:01,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E01107,PIT066JH,02:01,24:03,18:01,27:02,02:02,07:01,A,G,Published,CSSMCS,10/23/2019,,,,,
05E01161,HER140WJH,01:01,31:01,08:01,27:05,02:02,07:01,A,A,Published,CSSMCS,12/16/2019,1,,,,
05E01179,MTS136WL,01:01,03:01,08:01,27:05,02:02,07:01,,,Published,Tang,03/07/2008,1,,,,
05E01600,W00301001,02:01,02:01,18:01,49:01,02:02,07:01,,,Published,Marti,10/03/2006,1,,,,
05E01645,GRE024NV,01:01,26:01,15:17,27:02,02:02,07:01,A,G,Published,CSSMCS,12/16/2019,,,,,
05E01982,UNC017RSC,01:01,31:01,08:01,27:05,02:02,07:01,,,Published,car master,12/24/2009,1,,,,
05E02318,T04401001,02:01,02:01,49:01,51:01,02:02,07:01,,,Published,Marti,10/03/2006,1,,,,
07G00025,40763,02:01,31:01,27:05,49:01,02:02,07:01,A,G,Confirmed,yukiy,11/27/2018,1,,,,
07G00127,41617,01:01,24:02,08:01,40:02,02:02,07:01,A,A,Confirmed,yukiy,12/07/2018,1,,,,
07G00147,21009,01:01,24:02,08:01,44:03,02:02,07:01,A,G,Preliminary,yukiy,05/11/2018,,,,,
07G00230,10485,02:01,24:02,18:01,27:05,02:02,07:01,G,G,Published,yukiy,05/09/2018,1,,,,
07G00267,20287,03:01,26:01,08:01,51:01,02:02,07:01,A,G,Published,yukiy,05/18/2018,1,,,,
07G00302,30386,03:01,68:01,08:01,27:05,02:02,07:01,,,Published,marti,11/04/2010,1,,,,
07G00340,11042,02:01,31:01,27:05,49:01,02:02,07:01,A,G,Published,yukiy,06/13/2018,1,,,,
07G00450,10463,01:01,33:03,08:01,40:02,02:02,07:01,A,G,Published,yukiy,06/13/2018,1,,,,
07G00634,40706,01:01,02:01,08:01,51:01,02:02,07:01,A,A,Published,yukiy,06/13/2018,1,,,,
07G00647,30230,03:01,24:02,15:17,27:05,02:02,07:01,,,Published,yukiy,08/17/2018,1,,,,
07G00676,21018,03:01,24:02,08:01,27:05,02:02,07:01,A,G,Published,yukiy,08/17/2018,1,,,,
07G00699,30157,01:01,02:01,08:01,27:02,02:02,07:01,,,Published,yukiy,08/17/2018,1,,,,
07G00757,10088,02:01,02:01,18:01,27:05,02:02,07:01,G,G,Published,yukiy,07/06/2018,1,,,,
07G00783,20158,01:01,32:01,08:01,40:02,02:02,07:01,A,A,Published,yukiy,11/27/2018,1,,,,
07G00807,30508,23:01,32:01,44:02,49:01,02:02,07:01,G,G,Published,yukiy,08/17/2018,1,,,,
07G00952,20123,02:05,31:01,40:02,49:01,02:02,07:01,,,Published,Darlene Marti,12/16/2008,1,,,,
07G00959,20125,02:01,03:01,15:00,18:01,02:02,07:01,,,Published,Bailey Kessing,11/21/2008,,,,,
